year;Australia;Austria;Belgica;Canada;Suiza;Chile;Colombia;Costa Rica;Republica Checa;Alemania;Dinamarca;España;Estonia;Finlandia;Francia;Reino Unido;Grecia;Hungria;Irlanda;Islandia;Israel;Italia;Japon;Corea;Lituania;Luxemburgo;Letonia;Mexico;Paises Bajos;Noruega;Nueva Zelandia;Polonia;Portugal;Republica Eslovaca;Eslovenia;Suecia;Turquia;Estados Unidos;Mundo
1990;5.34E+11;2.89E+11;3.55E+11;9.62E+11;3.73E+11;1.26E+11;2.78E+11;2.98E+10;2.45E+11;2.93E+12;2.01E+11;1.07E+12;;1.64E+11;1.97E+12;1.75E+12;2.45E+11;;93029883400;8756136102;1.10E+11;2.09E+12;3.96E+12;5.43E+11;;25947241502;;1.26E+12;5.48E+11;1.76E+11;91954461408;4.33E+11;2.35E+11;;44214517637;2.97E+11;6.86E+11;1.01E+13;5.11E+13
1991;5.32E+11;2.99E+11;3.62E+11;9.42E+11;3.70E+11;1.36E+11;2.83E+11;3.05E+10;2.16E+11;3.08E+12;2.04E+11;1.10E+12;;1.54E+11;1.99E+12;1.73E+12;2.53E+11;1.73E+11;94825025203;8736563903;1.18E+11;2.12E+12;4.10E+12;6.02E+11;;28190169889;;1.31E+12;5.61E+11;1.81E+11;90951598526;4.02E+11;2.46E+11;;40279377846;2.93E+11;6.91E+11;1.01E+13;5.18E+13
1992;5.34E+11;3.05E+11;3.67E+11;9.50E+11;3.70E+11;1.52E+11;2.95E+11;3.33E+10;2.15E+11;3.14E+12;2.08E+11;1.11E+12;;1.49E+11;2.03E+12;1.74E+12;2.55E+11;1.67E+11;97995285516;8441801490;1.28E+11;2.14E+12;4.13E+12;6.39E+11;;28703134090;;1.36E+12;5.71E+11;1.88E+11;91947105977;4.12E+11;2.48E+11;63706309943;38078634374;2.90E+11;7.26E+11;1.04E+13;5.26E+13
1993;5.56E+11;3.07E+11;3.64E+11;9.76E+11;3.69E+11;1.62E+11;3.11E+11;3.56E+10;2.15E+11;3.11E+12;2.08E+11;1.10E+12;17837079852;1.48E+11;2.01E+12;1.78E+12;2.50E+11;1.66E+11;1.01E+11;8552680281;1.33E+11;2.12E+12;4.11E+12;6.83E+11;;29908851587;;1.39E+12;5.78E+11;1.93E+11;97823704270;4.28E+11;2.43E+11;64917575220;39161369618;2.84E+11;7.82E+11;1.07E+13;5.35E+13
1994;5.78E+11;3.14E+11;3.75E+11;1.02E+12;3.74E+11;1.70E+11;3.29E+11;3.72E+10;2.22E+11;3.18E+12;2.19E+11;1.12E+12;17544119853;1.54E+11;2.06E+12;1.85E+12;2.55E+11;1.71E+11;1.06E+11;8861334363;1.43E+11;2.16E+12;4.15E+12;7.46E+11;;31051644479;;1.46E+12;5.95E+11;2.03E+11;1.03E+11;4.50E+11;2.46E+11;68946054617;41247686001;2.95E+11;7.45E+11;1.12E+13;5.50E+13
1995;6.00E+11;3.23E+11;3.84E+11;1.05E+12;3.76E+11;1.85E+11;3.46E+11;3.88E+10;2.36E+11;3.23E+12;2.26E+11;1.16E+12;18338285765;1.61E+11;2.10E+12;1.90E+12;2.61E+11;1.74E+11;1.17E+11;8871665234;1.58E+11;2.22E+12;4.27E+12;8.18E+11;38689145683;31496366314;23634997784;1.36E+12;6.13E+11;2.11E+11;1.08E+11;4.82E+11;2.56E+11;72974914554;42941793783;3.07E+11;8.04E+11;1.15E+13;5.67E+13
1996;6.23E+11;3.30E+11;3.89E+11;1.06E+12;3.78E+11;1.97E+11;3.53E+11;3.92E+10;2.46E+11;3.25E+12;2.32E+11;1.19E+12;19243458591;1.66E+11;2.13E+12;1.95E+12;2.68E+11;1.74E+11;1.25E+11;9277381015;1.66E+11;2.25E+12;4.40E+12;8.83E+11;40684911458;31933671687;24242281609;1.46E+12;6.35E+11;2.22E+11;1.12E+11;5.12E+11;2.65E+11;77805777534;44317221933;3.12E+11;8.63E+11;1.19E+13;5.89E+13
1997;6.48E+11;3.37E+11;4.04E+11;1.02E+12;3.87E+11;2.12E+11;3.65E+11;4.14E+10;2.45E+11;3.31E+12;2.40E+11;1.23E+12;21754062966;1.77E+11;2.18E+12;2.02E+12;2.80E+11;1.79E+11;1.39E+11;9811802245;1.72E+11;2.29E+12;4.44E+12;9.37E+11;44066202537;33756993460;26391019730;1.56E+12;6.62E+11;2.33E+11;1.14E+11;5.45E+11;2.77E+11;82416422299;46555150106;3.21E+11;9.29E+11;1.24E+13;6.10E+13
1998;6.78E+11;3.49E+11;4.12E+11;1.05E+12;3.98E+11;2.21E+11;3.67E+11;4.43E+10;2.44E+11;3.38E+12;2.45E+11;1.28E+12;22696079346;1.87E+11;2.26E+12;2.10E+12;2.91E+11;1.86E+11;1.51E+11;10508004617;1.79E+11;2.34E+12;4.39E+12;8.89E+11;47360485518;35797486448;28064419710;1.64E+12;6.93E+11;2.39E+11;1.15E+11;5.70E+11;2.90E+11;85775795067;48081863611;3.35E+11;9.51E+11;1.30E+13;6.26E+13
1999;7.12E+11;3.62E+11;4.27E+11;1.09E+12;4.05E+11;2.20E+11;3.52E+11;4.61E+10;2.47E+11;3.44E+12;2.52E+11;1.34E+12;22604515883;1.95E+11;2.34E+12;2.17E+12;3.00E+11;1.92E+11;1.67E+11;10932848506;1.85E+11;2.37E+12;4.38E+12;9.91E+11;46819831876;38833471216;28833677912;1.68E+12;7.28E+11;2.44E+11;1.21E+11;5.97E+11;3.02E+11;85684946265;50645909078;3.49E+11;9.20E+11;1.36E+13;6.47E+13
2000;7.40E+11;3.74E+11;4.43E+11;1.15E+12;4.21E+11;2.32E+11;3.62E+11;4.78E+10;2.57E+11;3.54E+12;2.62E+11;1.41E+12;24889045417;2.06E+11;2.43E+12;2.24E+12;3.12E+11;2.01E+11;1.83E+11;11467638988;1.99E+11;2.46E+12;4.51E+12;1.08E+12;48550070665;42033272377;30469116890;1.76E+12;7.59E+11;2.52E+11;1.25E+11;6.24E+11;3.13E+11;86684485367;52505815035;3.66E+11;9.84E+11;1.42E+13;6.78E+13
