Ano;Region;Tipo_caracteristica;Caracteristica;Total;No pobres;Pobreza total;Pobreza no extrema;Pobreza extrema
2010;Total;Hogar;Total de personas;4551553;3448031;1103522;792491;311031
2010;Total;Hogar;Total de hogares;1289716;1015100;274616;197251;77365
2010;Total;Hogar;Miembros por hogar;3.529112611;3.396740223;4.018418446;4.017677984;4.02030634
2010;Total;Hogar;Fuerza de trabajo por hogar;1.584058041;1.691628411;1.186431235;1.242665436;1.043055645
2010;Total;Hogar;Ocupados por hogar;1.468168961;1.610147769;0.943353628;1.058889435;0.648781749
2010;Total;Hogar;Ingreso por hogar;804366.1478;968516.8908;197593.7118;240851.2908;87303.5197
2010;Total;Hogar;Ingreso per cápita por hogar;268591.9585;327884.2053;49422.06389;60426.58844;21364.75797
2010;Total;Hogar;Porcentaje de hogares con jefatura femenina;33.68881211;33.05605359;36.0277624;33.94406112;41.34039941
2010;Total;Persona;Relación de dependencia demográfica;0.464744362;0.399778837;0.713186397;0.682537592;0.796527445
2010;Total;Persona;Relación de dependencia económica;1.227893499;1.007970663;2.386979648;2.233113166;2.854354615
2010;Total;Persona;Horas semanales trabajadas en la ocupación principal;44.92436038;45.77750731;39.55762205;41.17871027;32.8019976
2010;Total;Persona;Escolaridad promedio personas de 15 años y más;8.379285383;8.971089777;6.133895502;6.32467005;5.60420622
2010;Total;Persona;Tasa de desempleo abierto;7.315961693;4.816698618;20.48813276;14.78885593;37.79989095
2010;Total;Persona;Tasa neta de participación;59.01294279;62.64652693;45.1966907;46.24709443;42.27976234
2010;Central;Hogar;Total de personas;2983566;2417125;566441;436127;130314
2010;Central;Hogar;Total de hogares;851080;705808;145272;110229;35043
2010;Central;Hogar;Miembros por hogar;3.505623443;3.424621143;3.89917534;3.956554083;3.718688468
2010;Central;Hogar;Fuerza de trabajo por hogar;1.674545284;1.764441605;1.237781541;1.294514148;1.059327112
2010;Central;Hogar;Ocupados por hogar;1.557942849;1.678207104;0.973635663;1.084397028;0.625231858
2010;Central;Hogar;Ingreso por hogar;909472.7477;1053142.828;211447.7176;250080.9086;89925.64415
2010;Central;Hogar;Ingreso per cápita por hogar;304369.7542;355916.9963;53926.06313;63682.6814;23236.27412
2010;Central;Hogar;Porcentaje de hogares con jefatura femenina;35.36424308;35.01660508;37.05325183;34.68597193;44.49961476
2010;Central;Persona;Relación de dependencia demográfica;0.429522434;0.38093241;0.68221447;0.660367654;0.759644598
2010;Central;Persona;Relación de dependencia económica;1.09347784;0.940909314;2.15013208;2.056400805;2.510425085
2010;Central;Persona;Horas semanales trabajadas en la ocupación principal;44.89272086;45.36936401;40.91892313;41.93028965;35.40967595
2010;Central;Persona;Escolaridad promedio personas de 15 años y más;8.965707514;9.445377294;6.497988259;6.61906;6.065350644
2010;Central;Persona;Tasa de desempleo abierto;6.963229701;4.887353586;21.34026638;16.23134982;40.97839556
2010;Central;Persona;Tasa neta de participación;60.97983843;63.61574031;47.38258111;48.10633133;44.7922197
2010;Chorotega;Hogar;Total de personas;315994;196667;119327;75898;43429
2010;Chorotega;Hogar;Total de hogares;86697;58434;28263;18525;9738
2010;Chorotega;Hogar;Miembros por hogar;3.644808932;3.365626177;4.222021725;4.09705803;4.459745328
2010;Chorotega;Hogar;Fuerza de trabajo por hogar;1.372112068;1.507700996;1.091780773;1.105641026;1.065413843
2010;Chorotega;Hogar;Ocupados por hogar;1.241069472;1.421398501;0.868237625;0.969338731;0.675908811
2010;Chorotega;Hogar;Ingreso por hogar;611592.9445;819490.0739;181763.8091;226743.7442;96196.61889
2010;Chorotega;Hogar;Ingreso per cápita por hogar;204877.7191;282823.3096;43724.52807;55764.36316;20820.65202
2010;Chorotega;Hogar;Porcentaje de hogares con jefatura femenina;35.68058872;32.26375056;42.74493154;43.5465587;41.21996303
2010;Chorotega;Persona;Relación de dependencia demográfica;0.524602903;0.418395549;0.739105722;0.702894324;0.806230245
2010;Chorotega;Persona;Relación de dependencia económica;1.6563493;1.232290212;2.867096607;2.705595157;3.185927711
2010;Chorotega;Persona;Horas semanales trabajadas en la ocupación principal;43.21657254;45.23773671;36.3591368;38.17196636;31.35867896
2010;Chorotega;Persona;Escolaridad promedio personas de 15 años y más;7.519696604;8.362199866;5.860816634;5.942082097;5.703410201
2010;Chorotega;Persona;Tasa de desempleo abierto;9.550429563;5.724112099;20.47509479;12.32789767;36.55903614
2010;Chorotega;Persona;Tasa neta de participación;51.17947968;57.13868784;39.43638571;39.6791879;38.96567265
2010;Pacífico Central;Hogar;Total de personas;230497;162595;67902;46139;21763
2010;Pacífico Central;Hogar;Total de hogares;68480;50751;17729;12282;5447
2010;Pacífico Central;Hogar;Miembros por hogar;3.365902453;3.203779236;3.829996052;3.756635727;3.995410318
2010;Pacífico Central;Hogar;Fuerza de trabajo por hogar;1.421904206;1.508265847;1.174685543;1.267708842;0.964934827
2010;Pacífico Central;Hogar;Ocupados por hogar;1.304380841;1.448404958;0.892097693;1.06912555;0.492931889
2010;Pacífico Central;Hogar;Ingreso por hogar;644143.4679;805164.8032;183204.1147;229420.9999;78993.39611
2010;Pacífico Central;Hogar;Ingreso per cápita por hogar;217952.2687;277217.2908;48300.33466;60975.45826;19720.22302
2010;Pacífico Central;Hogar;Porcentaje de hogares con jefatura femenina;31.28796729;30.73634017;32.86705398;30.6709005;37.81898293
