Ano;Region;No pobres;Pobreza total;Pobreza no extrema;Pobreza extrema
1987;Total;71;29;20;9.1
1988;Total;71.6;28.4;18.7;9.8
1989;Total;71.7;28.3;19.3;9
1990;Total;72.9;27.1;18;9.1
1991;Total;68.1;31.9;20.2;11.7
1992;Total;70.6;29.4;20;9.3
1993;Total;76.8;23.2;16.3;6.9
1994;Total;80;20;14.2;5.8
1995;Total;79.6;20.4;14.1;6.2
1996;Total;78.4;21.6;14.7;6.9
1997;Total;79.3;20.7;15;5.7
1998;Total;80.3;19.7;14.4;5.3
1999;Total;79.4;20.6;13.9;6.7
2000;Total;79.4;20.6;14.5;6.1
2001;Total;79.7;20.3;14.4;5.9
2002;Total;79.4;20.6;14.9;5.7
2003;Total;81.5;18.5;13.4;5.1
2004;Total;78.3;21.7;16.1;5.6
2005;Total;78.8;21.2;15.7;5.6
2006;Total;79.8;20.2;14.9;5.3
2007;Total;83.3;16.7;13.4;3.3
2008;Total;82.3;17.7;14.2;3.5
2009;Total;81.5;18.5;14.3;4.2
1987;Central;77;23;17.1;5.8
1988;Central;77.9;22.1;15.8;6.3
1989;Central;77.2;22.8;16.9;5.8
1990;Central;78;22;16.4;5.7
1991;Central;72.8;27.2;18.5;8.7
1992;Central;74.5;25.5;18.9;6.6
1993;Central;81.5;18.5;13.9;4.6
1994;Central;85.1;14.9;11.8;3.1
1995;Central;84;16;11.9;4.1
1996;Central;83.5;16.5;12.1;4.4
1997;Central;84.6;15.4;11.9;3.5
1998;Central;85;15;11.7;3.3
1999;Central;84.4;15.6;11.2;4.4
2000;Central;84.6;15.4;11.7;3.7
2001;Central;84.6;15.4;11.9;3.5
2002;Central;84.1;15.9;12.4;3.5
2003;Central;86;14;11;3
2004;Central;82.9;17.1;13.5;3.6
2005;Central;82.7;17.3;13.4;3.9
2006;Central;83.8;16.2;12.3;3.9
2007;Central;86.3;13.7;11.1;2.6
2008;Central;86;14;11.7;2.3
2009;Central;84.7;15.3;12.2;3.1
1987;Chorotega;53.7;46.3;24.8;21.4
1988;Chorotega;53.7;46.3;25;21.3
1989;Chorotega;53.8;46.2;24.5;21.7
1990;Chorotega;54.6;45.4;22.7;22.7
1991;Chorotega;48.3;51.7;28.3;23.4
1992;Chorotega;53.2;46.8;27.7;19.1
1993;Chorotega;61.6;38.4;24.6;13.8
1994;Chorotega;62.5;37.5;22.7;14.7
1995;Chorotega;64.8;35.2;21.6;13.6
1996;Chorotega;65.5;34.5;21.4;13.2
1997;Chorotega;64;36;23.7;12.3
1998;Chorotega;65.9;34.1;22.7;11.5
1999;Chorotega;64.5;35.5;22.3;13.2
2000;Chorotega;64.7;35.3;22;13.3
2001;Chorotega;68.8;31.2;18.9;12.3
2002;Chorotega;67.3;32.7;19;13.7
2003;Chorotega;69.4;30.6;19.7;10.9
2004;Chorotega;66.9;33.1;23.1;10
2005;Chorotega;70.7;29.3;19.2;10.1
2006;Chorotega;65.6;34.4;22.3;12.1
2007;Chorotega;74.9;25.1;18.7;6.3
2008;Chorotega;74;26;19.4;6.5
2009;Chorotega;75.9;24.1;16.4;7.7
